"item","item_code","value","unit","year","element","area"
"Cucumbers and gherkins","01232",9156.6,"kg/ha",2022,"Yield","Thailand"
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","01599.10",16402.5,"kg/ha",2022,"Yield","Thailand"
"Eggplants (aubergines)","01233",29404.6,"kg/ha",2022,"Yield","Thailand"
"Ginger, raw","01657",16660.7,"kg/ha",2022,"Yield","Thailand"
"Grapes","01330",16895.5,"kg/ha",2022,"Yield","Thailand"
"Green corn (maize)","01290.01",9634.9,"kg/ha",2022,"Yield","Thailand"
"Green garlic","01252",6351.7,"kg/ha",2022,"Yield","Thailand"
"Groundnuts, excluding shelled","0142",2267.3,"kg/ha",2022,"Yield","Thailand"
"Jute, raw or retted","01922.01",1952.7,"kg/ha",2022,"Yield","Thailand"
"Kapok fruit","01499.05",3732,"kg/ha",2022,"Yield","Thailand"
"Kenaf, and other textile bast fibres, raw or retted","01922.02",1396,"kg/ha",2022,"Yield","Thailand"
"Lemons and limes","01322",10213.5,"kg/ha",2022,"Yield","Thailand"
"Lettuce and chicory","01214",8557.8,"kg/ha",2022,"Yield","Thailand"
"Maize (corn)","0112",4673.6,"kg/ha",2022,"Yield","Thailand"
"Mangoes, guavas and mangosteens","01316",12524.2,"kg/ha",2022,"Yield","Thailand"
"Natural rubber in primary forms","01950.01",1357.8,"kg/ha",2022,"Yield","Thailand"
"Oil palm fruit","01491.01",18937.3,"kg/ha",2022,"Yield","Thailand"
"Onions and shallots, dry (excluding dehydrated)","01253.02",25068.9,"kg/ha",2022,"Yield","Thailand"
"Onions and shallots, green","01253.01",16710.2,"kg/ha",2022,"Yield","Thailand"
"Oranges","01323",21165.4,"kg/ha",2022,"Yield","Thailand"
"Other beans, green","01241.90",1729.8,"kg/ha",2022,"Yield","Thailand"
"Other citrus fruit, n.e.c.","01329",4886.8,"kg/ha",2022,"Yield","Thailand"
"Other fibre crops, raw, n.e.c.","01929.90",769.9,"kg/ha",2022,"Yield","Thailand"
"Other fruits, n.e.c.","01359.90",16996.8,"kg/ha",2022,"Yield","Thailand"
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","01379.90",1262.2,"kg/ha",2022,"Yield","Thailand"
"Other pulses n.e.c.","01709.90",1167,"kg/ha",2022,"Yield","Thailand"
"Other stimulant, spice and aromatic crops, n.e.c.","01699",1568.5,"kg/ha",2022,"Yield","Thailand"
"Other tropical fruits, n.e.c.","01319",6402.1,"kg/ha",2022,"Yield","Thailand"
"Other vegetables, fresh n.e.c.","01290.90",11573.5,"kg/ha",2022,"Yield","Thailand"
"Papayas","01317",39882.9,"kg/ha",2022,"Yield","Thailand"
"Peas, green","01242",12744.7,"kg/ha",2022,"Yield","Thailand"
"Pepper (Piper spp.), raw","01651",2822.6,"kg/ha",2022,"Yield","Thailand"
"Pineapples","01318",23970.3,"kg/ha",2022,"Yield","Thailand"
"Pomelos and grapefruits","01321",14982.6,"kg/ha",2022,"Yield","Thailand"
"Potatoes","01510",18233.6,"kg/ha",2022,"Yield","Thailand"
"Pumpkins, squash and gourds","01235",20556.8,"kg/ha",2022,"Yield","Thailand"
"Rice","0113",2999.5,"kg/ha",2022,"Yield","Thailand"
"Seed cotton, unginned","01921.01",1652.2,"kg/ha",2022,"Yield","Thailand"
"Sesame seed","01444",688.9,"kg/ha",2022,"Yield","Thailand"
"Sisal, raw","01929.05",295.3,"kg/ha",2022,"Yield","Thailand"
"Sorghum","0114",1851.9,"kg/ha",2022,"Yield","Thailand"
"Soya beans","0141",1661,"kg/ha",2022,"Yield","Thailand"
"Sugar cane","01802",64575.9,"kg/ha",2022,"Yield","Thailand"
"Sunflower seed","01445",843.8,"kg/ha",2022,"Yield","Thailand"
"Tangerines, mandarins, clementines","01324",15252.6,"kg/ha",2022,"Yield","Thailand"
"Taro","01550",9959.4,"kg/ha",2022,"Yield","Thailand"
"Tea leaves","01620",5039.9,"kg/ha",2022,"Yield","Thailand"
"Tomatoes","01234",22642.2,"kg/ha",2022,"Yield","Thailand"
"Unmanufactured tobacco","01970",3130.7,"kg/ha",2022,"Yield","Thailand"
"Watermelons","01221",23347,"kg/ha",2022,"Yield","Thailand"
"Wheat","0111",1039.2,"kg/ha",2022,"Yield","Thailand"
